Depth[m] Velocity[m/s] TWT[ms]
1928.4696000000001 3534.105910917866 1737.2735969373175
1928.7744 3531.3327676952435 1737.4462229796936
1929.0792000000001 3528.655141481001 1737.618980014756
1929.384 3525.312338371486 1737.7919008630352
1929.6888000000001 3522.012838569873 1737.964983707403
1929.9936 3518.785449623244 1738.1382253013358
1930.2984000000001 3515.3268701189686 1738.3116373402509
1930.6032 3511.8921486023014 1738.4852189806331
1930.9080000000001 3508.3747749136087 1738.6589746478894
1931.2128 3504.954725089114 1738.8328998617121
1931.5176000000001 3501.3627331658336 1739.0070035026247
1931.8224 3497.955788415589 1739.1812767172887
1932.1272000000001 3495.0449061473296 1739.3556950771008
1932.432 3492.2754755740307 1739.530251753475
1932.7368000000001 3490.1400091329006 1739.7049152335662
1933.0416 3487.717668818289 1739.8797000234733
1933.3464000000001 3485.1425362903406 1740.0546139598912
1933.6512 3482.750728894721 1740.229648019878
1933.9560000000001 3480.635383646425 1740.404788456266
1934.2608 3479.45827712406 1740.5799881429552
1934.5656000000001 3477.2822494797847 1740.7552974668076
1934.8704 3475.7253419891526 1740.9306853182686
1935.1752000000001 3474.958588550837 1741.1061118692521
1935.48 3474.4174628776364 1741.2815657421713
1935.7848000000001 3474.462463734603 1741.4570173426312
1936.0896 3474.960844263375 1741.6324437797396
1936.3944000000001 3475.317582411706 1741.8078522094856
1936.6992 3475.6212147393308 1741.9832453154474
1937.0040000000001 3476.4352077007597 1742.1585973538372
1937.3088 3477.231919042125 1742.3339092151662
1937.6136000000001 3478.562335047312 1742.509154026466
1937.9184 3480.0691554447817 1742.6843229592575
1938.2232000000001 3482.4361120431163 1742.8593728325034
1938.528 3484.8917825102194 1743.0342993547729
1938.8328000000001 3486.6182518427086 1743.2091392586476
1939.1376 3488.4317418785404 1743.3838882705552
1939.4424000000001 3490.8509713284393 1743.558516177907
1939.7472 3493.4074121202234 1743.7330162942933
1940.0520000000001 3495.980264111075 1743.907387988052
1940.3568 3498.116462828881 1744.0816531980522
1940.6616000000001 3499.8838128849115 1744.2558304086658
1940.9664 3501.1700008354583 1744.4299436336319
1941.2712000000001 3502.200084487902 1744.6040056475927
1941.576 3502.8139173053446 1744.7780371589408
1941.8808000000001 3503.7030737762198 1744.9520245052324
1942.1856 3504.436013559077 1745.1259754627165
1942.4904000000001 3504.9894440853836 1745.299898953707
1942.7952 3505.660155856395 1745.473789169215
1943.1000000000001 3505.8623786125954 1745.6476693545067
1943.4048 3506.16903188911 1745.8215343320521
1943.7096000000001 3506.443337587413 1745.9953857083071
1944.0144 3505.9167893799554 1746.169263195031
1944.3192000000001 3502.9160462170607 1746.3432896324211
1944.624 3499.6687553077318 1746.5174775463702
1944.9288000000001 3496.8747878445065 1746.6918046346946
1945.2336 3493.5052262059985 1746.8662998652806
1945.5384000000001 3490.572866623848 1747.0409416857763
1945.8432 3487.98561387327 1747.215713048816
1946.1480000000001 3485.2947546051064 1747.3906193459648
1946.4528 3482.2936922096173 1747.56567637845
1946.7576000000001 3478.9529891711572 1747.7409015113844
1947.0624 3475.7704178373933 1747.916287088312
1947.3672000000001 3472.548774305436 1748.0918353785219
1947.672 3469.6099872271348 1748.2675323595208
1947.9768000000001 3466.5121496034044 1748.4433863515715
1948.2816 3463.77744380023 1748.6193791830656
1948.5864000000001 3461.759888839949 1748.7954745852815
1948.8912 3460.067428221765 1748.971656122967
1949.1960000000001 3458.804843273382 1749.1479019730864
1949.5008 3457.7481815710025 1749.3242016826052
1949.8056000000001 3457.3224009743535 1749.5005231040116
1950.1104 3457.9609187614465 1749.676811967397
1950.4152000000001 3458.766262467093 1749.8530597834508
1950.72 3460.0370546852128 1750.0292428677258
1951.0248000000001 3460.7947171395313 1750.205387380713
1951.3296 3462.1601616584253 1750.3814624239046
1951.6344000000001 3464.6459351883623 1750.5574111388394
1951.9392 3468.191945236169 1750.733179957182
1952.2440000000001 3471.7191790967754 1750.9087701960673
1952.5488 3475.2081450024352 1751.0841841495817
1952.8536000000001 3479.063596216043 1751.2594037117256
1953.1584 3483.1604038474757 1751.4344171849284
1953.4632000000001 3487.129526163148 1751.6092314542082
1953.768 3491.434463857919 1751.783830177544
1954.0728000000001 3495.544462370699 1751.9582236108308
1954.3776 3499.05302846295 1752.1324421765516
1954.6824000000001 3502.718631609538 1752.3064784221406
1954.9872 3506.28392101606 1752.4803377027158
1955.2920000000001 3509.405188657065 1752.6540423527147
1955.5968 3512.4473811551115 1752.8275965540588
1955.9016000000001 3513.831212953701 1753.0010824055569
1956.2064 3514.101524673223 1753.1745549121763
1956.5112000000001 3514.1968675531803 1753.3480227123523
1956.816 3514.7498065757754 1753.521463222644
1957.1208000000001 3515.2466065056615 1753.6948792210753
1957.4256 3514.841594903273 1753.8683152020549
1957.7304000000001 3513.184650869486 1754.041832981671
1958.0352 3511.0945542448612 1754.2154540535566
1958.3400000000001 3509.1891484529324 1754.3891693975324
1958.6448 3506.94084224464 1754.562996110734
1958.9496000000001 3504.0245172055406 1754.7369674962101
1959.2544 3500.3581142307416 1754.9111211056713
1959.5592000000001 3496.5554488840958 1755.0854641152164
1959.864 3492.5695753674045 1755.2600060926475
1960.1688000000001 3488.7544666311433 1755.4347389395218
1960.4736 3485.0696665065566 1755.6096565332384
1960.7784000000001 3480.875257873621 1755.7847849003413
1961.0832 3475.880435999357 1755.960164925985
1961.3880000000001 3470.765580979935 1756.1358034085551
1961.6928 3465.426307723136 1756.3117125019448
1961.9976000000001 3459.427772845079 1756.4879266159626
1962.3024 3453.6999992199485 1756.6644329715052
1962.6072000000001 3449.65759592765 1756.8411461620317
1962.912 3445.570275971168 1757.0180689792069
1963.2168000000001 3441.54088176713 1757.195198939577
1963.5216 3438.0726908558454 1757.3725075816023
1963.8264000000001 3435.0783382516224 1757.5499707833035
1964.1312 3432.0014755514567 1757.727593084559
1964.4360000000001 3428.527026586465 1757.9053953872017
1964.7408 3424.4662097907267 1758.083408532216
1965.0456000000001 3420.935262251978 1758.2616054150178
1965.3504 3418.0000686426847 1758.4399553236653
1965.6552000000001 3415.4798617384636 1758.6184368327583
1965.96 3412.9367262353126 1758.7970513366001
1966.2648000000002 3411.109018627224 1758.9757615439464
1966.5696 3409.5598668115067 1759.1545529492341
1966.8744000000002 3407.787645595638 1759.3334373350579
1967.1792 3406.352971589486 1759.5123970626857
1967.4840000000002 3405.285078408417 1759.6914129118625
1967.7888 3404.3099012436796 1759.8704800407913
1968.0936000000002 3403.3837911018295 1760.049595896486
1968.3984 3402.3312802292226 1760.228767161654
1968.7032000000002 3401.7790698448825 1760.407967511672
1969.008 3401.566945992047 1760.5871790367364
1969.3128000000002 3401.965367443884 1760.7663695734284
1969.6176 3402.0470929631565 1760.945555805524
1969.9224000000002 3402.355541457733 1761.124725793073
1970.2272 3402.1761058960406 1761.3039052302995
